性质,质量等级,是否,藏品数,珍贵文物,展览,教育活动,参观人数,地区,博物馆名字,参观人数（2020年）,教育活动（2020年）,老师数量,学生人数,2022_民办,2022_公办,2023_民办,2023_公办
文物,未定级,是,358,203,2,13,2,蔡甸区,蔡甸区博物馆,20.8,433,745.0,7153.0,,32.12,,30.89
非国有,未定级,是,354,0,0,1,1,武昌区,德森地契博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,305,0,1,5,2.5,江夏区,蜂之巢蜜蜂博物馆,85.3,175,1409.0,13650.0,12.55,35.120000000000005,7.630000000000001,40.16
文物,未定级,是,300,0,6,11,1.6,汉南区,汉南区博物馆,4.1,14,316.0,3140.0,,,,
文物,未定级,是,1404,300,1,5,1.2,黄陂区,黄陂区博物馆,7.4,11,1535.0,18663.0,0.0,,0.0,
文物,未定级,是,1767,526,3,7,8.3,江夏区,江夏区博物馆,85.3,175,1409.0,13650.0,12.55,35.120000000000005,7.630000000000001,40.16
文物,未定级,是,752,26,10,21,35,武昌区,晴川阁管理处（武汉大禹文化博物馆）,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,1267,0,3,4,1.65,武昌区,秋枫记忆老物件博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
文物,未定级,是,394,138,12,12,11.6,新洲区,新洲区博物馆,20.7,51,1424.0,15579.0,0.0,,0.0,
非国有,未定级,否,398,0,0,32,3.3,新洲区,新洲区凤凰民俗博物馆,20.7,51,1424.0,15579.0,0.0,,0.0,
非国有,未定级,否,3033,0,3,7,5.8,新洲区,达临性学博物馆,20.7,51,1424.0,15579.0,0.0,,0.0,
非国有,未定级,是,1554,0,7,5,4.8,武昌区,大唐陶瓷博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,104,0,1,38,7.9,江夏区,大余湾社区博物馆,85.3,175,1409.0,13650.0,12.55,35.120000000000005,7.630000000000001,40.16
非国有,未定级,是,298,0,2,2,1,汉南区,道一堂中医药博物馆,4.1,14,316.0,3140.0,,,,
非国有,未定级,是,330,0,1,0,0,武昌区,点点打字机博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
行业,未定级,是,335,0,1,0,13.6,青山区,东湖梅花博物馆（武汉东湖荷花博物馆）,15.899999999999999,2,882.0,9539.0,,11.44,,12.01
行业,未定级,是,350,0,0,150,1.2,洪山区,鄂菜博物馆,19.6,190,1178.0,15943.0,8.72,381.98,10.48,418.34000000000003
行业,三级,是,5700,20,4,43,14.5,江夏区,二七纪念馆,85.3,175,1409.0,13650.0,12.55,35.120000000000005,7.630000000000001,40.16
非国有,未定级,是,310,0,1,0,4,黄陂区,凡氏老相机博物馆,7.4,11,1535.0,18663.0,0.0,,0.0,
非国有,未定级,是,94,0,2,2,0.5,武昌区,高龙博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
文物,二级,是,27903,457,35,99,224,武昌区,革命博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,231,0,2,2,0.5,江岸区,汉绣博物馆,19.0,43,1651.0,16403.0,0.0,,0.0,
行业,未定级,是,515,0,3,4,0.2,蔡甸区,汉正街博物馆,20.8,433,745.0,7153.0,,32.12,,30.89
非国有,未定级,是,3030,0,2,10,4.9,蔡甸区,壶语堂博物馆,20.8,433,745.0,7153.0,,32.12,,30.89
非国有,未定级,是,415,0,12,2,5.6,武昌区,槐川博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,1001,0,7,10,9,武昌区,金楠雅苑金丝楠木博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,448,0,3,25,1.1,武昌区,荆楚金石博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,309,0,1,2,1.3,武昌区,精益眼镜博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,480,0,2,10,3.7,洪山区,康思农蜜蜂博物馆,19.6,190,1178.0,15943.0,8.72,381.98,10.48,418.34000000000003
非国有,未定级,是,362,0,1,1,1,汉阳区,蓝鼎和鼻烟壶博物馆,4.1,13,803.0,8721.0,,,,
非国有,未定级,是,96,0,0,0,0,汉阳区,蓝光艺术博物馆,4.1,13,803.0,8721.0,,,,
非国有,未定级,是,400,0,0,12,3.1,汉阳区,老门茶器博物馆,4.1,13,803.0,8721.0,,,,
非国有,未定级,是,309,0,19,26,2.7,江汉区,黎黄陂文化博物馆,2.7,26,1024.0,14134.0,,,,
非国有,未定级,否,1282,0,7,2,20.4,东西湖区,李庄古建筑博物馆,20.4,2,1131.0,8023.0,,6.71,,8.56
行业,未定级,是,3000,0,2,8,5.1,洪山区,奇石文化博物馆,19.6,190,1178.0,15943.0,8.72,381.98,10.48,418.34000000000003
行业,未定级,是,261,0,15,2,0.3,武昌区,硚口民族工业博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,3052,0,1,0,0,武昌区,巧巧扑克牌博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,否,303,0,3,12,3.5,武昌区,琴台钢琴博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,7270,0,5,5,3.5,洪山区,青菱文农艺术博物馆,19.6,190,1178.0,15943.0,8.72,381.98,10.48,418.34000000000003
非国有,未定级,是,366,0,1,4,4.1,洪山区,三汉雕塑艺术博物馆,19.6,190,1178.0,15943.0,8.72,381.98,10.48,418.34000000000003
文物,未定级,是,358,203,2,13,2,洪山区,蔡甸区博物馆,19.6,190,1178.0,15943.0,8.72,381.98,10.48,418.34000000000003
非国有,未定级,是,354,0,0,1,1,技术开发区,德森地契博物馆,1,1,,,,,,
非国有,未定级,是,305,0,1,5,2.5,武昌区,蜂之巢蜜蜂博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
文物,未定级,是,300,0,6,11,1.6,武昌区,汉南区博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
文物,未定级,是,1404,300,1,5,1.2,武昌区,黄陂区博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
文物,未定级,是,1767,526,3,7,8.3,武昌区,江夏区博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
文物,未定级,是,752,26,10,21,35,武昌区,晴川阁管理处（武汉大禹文化博物馆）,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,1267,0,3,4,1.65,武昌区,秋枫记忆老物件博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
文物,未定级,是,394,138,12,12,11.6,武昌区,新洲区博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,否,398,0,0,32,3.3,武昌区,新洲区凤凰民俗博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,418,0,0,4,3.4,武昌区,袁家店红色文化博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
非国有,未定级,是,500,0,4,4,3,武昌区,贞元博物馆,427.5000000000001,412,2137.0,22597.0,,132.54000000000002,,168.46
文物,一级,是,6612,3111,13,78,50,江夏区,中山舰博物馆,85.3,175,1409.0,13650.0,12.55,35.120000000000005,7.630000000000001,40.16
非国有,未定级,是,398,0,1,1,1.5,汉南区,天人合一奇石博物馆,4.1,14,316.0,3140.0,,,,
