地区,一般公共预算教育经费,一般公共预算教育经费占一般公共预算支出比例,一般公共预算教育经费本年比上年增长
      武汉市,290.89412,13,12.39
      江岸区,18.776325800000002,21.24,4.29
      江汉区,19.3727084,22.19,15.6
      硚口区,14.7702995,21.61,7.43
      汉阳区,16.2926073,23.94,19.42
      武昌区,30.949758399999997,28.66,27.33
      青山区,11.7537968,21.88,10.25
      洪山区,21.1051957,22.31,15.09
      东西湖区,12.026420900000002,8.87,32.04
      汉南区,4.1596502,18.65,12.3
      蔡甸区,10.3489047,13.59,-9.3
      江夏区,17.2682198,12.03,6.06
      黄陂区,20.0559358,12.98,-3
      新洲区,22.71775,21.78,33.61
